,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness
43,Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.1739999999999995,6.0462000389099115
44,Slovakia,5.995,6.077999999999999,6.09800004959106,6.172999999999999,6.1979999999999995,6.108400009918212
45,Japan,5.987,5.921,5.92000007629395,5.915,5.886,5.9258000152587895
46,South Korea,5.984,5.835,5.837999820709231,5.875,5.895,5.885399964141846
47,Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,5.991999979400633
48,Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,6.113799978637696
49,Italy,5.9479999999999995,5.977,5.96400022506714,6.0,6.223,6.022400045013428
50,Bolivia,5.89,5.822,5.82299995422363,5.752000000000001,5.779,5.813199990844726
51,Moldova,5.888999999999999,5.897,5.837999820709231,5.64,5.529,5.758599964141846
52,Paraguay,5.877999999999999,5.537999999999999,5.493000030517581,5.681,5.742999999999999,5.666600006103516
53,Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809,5.838399953460694
54,Slovenia,5.848,5.768,5.75799989700317,5.9479999999999995,6.117999999999999,5.887999979400634
55,Lithuania,5.832999999999999,5.813,5.90199995040894,5.952000000000001,6.149,5.929799990081788
56,Nicaragua,5.827999999999999,5.992000000000001,6.07100009918213,6.141,6.105,6.027400019836426
57,Peru,5.824,5.742999999999999,5.71500015258789,5.662999999999999,5.697,5.728400030517578
58,Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.3229999999999995,5.597999953460694
59,Poland,5.791,5.835,5.97300004959106,6.122999999999999,6.182,5.980800009918212
60,Malaysia,5.77,6.005,6.08400011062622,6.322,5.3389999999999995,5.904000022125244
61,Croatia,5.7589999999999995,5.4879999999999995,5.2930002212524405,5.321000000000001,5.432,5.458600044250488
62,Libya,5.754,5.615,5.525000095367429,5.566,5.525,5.597000019073485
63,Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.798599964141846
64,Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,5.661999974060058
66,Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046,5.732799962615966
67,Algeria,5.605,6.355,5.872000217437741,5.295,5.211,5.667600043487548
68,Kosovo,5.5889999999999995,5.401,5.27899980545044,5.662000000000001,6.1,5.606199961090089
69,Turkmenistan,5.547999999999999,5.6579999999999995,5.82200002670288,5.636,5.247000000000001,5.582200005340576
70,Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,5.7066000373840335
72,Estonia,5.428999999999999,5.517,5.61100006103516,5.739,5.893,5.637800012207032
73,Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,5.2520000167846685
74,Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,5.154599976348876
75,Turkey,5.332000000000001,5.388999999999999,5.5,5.483,5.372999999999999,5.4154
76,Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705,5.131,5.261,5.173400037384034
77,Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,5.127399976348877
78,Bhutan,5.252999999999999,5.196000000000001,5.01100015640259,5.082,5.082,5.124800031280518
79,Azerbaijan,5.212000000000001,5.291,5.234000205993651,5.2010000000000005,5.207999999999999,5.22920004119873
80,Pakistan,5.194,5.132000000000001,5.26900005340576,5.472,5.653,5.344000010681151
81,Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.906000000000001,5.179599993133545
82,Montenegro,5.192,5.1610000000000005,5.23699998855591,5.347,5.523,5.291999997711182
83,China,5.14,5.245,5.2729997634887695,5.246,5.191,5.218999952697754
84,Zambia,5.129,4.795,4.513999938964839,4.377,4.107,4.584399987792968
85,Romania,5.124,5.528,5.824999809265139,5.945,6.07,5.698399961853028
86,Serbia,5.122999999999999,5.1770000000000005,5.39499998092651,5.398,5.603,5.339199996185302
87,Portugal,5.102,5.122999999999999,5.19500017166138,5.41,5.693,5.304600034332276
88,Latvia,5.098,5.56,5.849999904632571,5.933,5.94,5.676199980926514
89,Philippines,5.073,5.279,5.42999982833862,5.524,5.631,5.387399965667724
91,Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999999,5.172200026702879
94,Albania,4.959,4.655,4.64400005340576,4.586,4.718999999999999,4.712600010681152
95,Bosnia and Herzegovina,4.949,5.162999999999999,5.18200016021729,5.129,5.386,5.161800032043457
97,Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,5.199400003814698
99,Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,5.02919998474121
101,Greece,4.857,5.033,5.2270002365112305,5.358,5.287000000000001,5.152400047302247
102,Lebanon,4.8389999999999995,5.129,5.22499990463257,5.358,5.197,5.149599980926514
103,Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999,5.329399976348876
104,Honduras,4.788,4.871,5.1810002326965305,5.504,5.86,5.240800046539306
105,Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005,5.097799977874756
106,Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,4.728399965667724
107,Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.696000000000001,4.736600019073486
108,Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,4.580199960327148
109,Iran,4.686,4.813,4.69199991226196,4.707,4.548,4.689199982452392
110,Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,4.307200038909912
111,Iraq,4.677,4.575,4.49700021743774,4.456,4.437,4.528400043487548
112,South Africa,4.6419999999999995,4.459,4.8289999961853,4.724,4.7219999999999995,4.67519999923706
113,Ghana,4.633,4.276,4.11999988555908,4.657,4.996,4.536399977111816
114,Zimbabwe,4.61,4.1930000000000005,3.875,3.6919999999999997,3.6630000000000003,4.006600000000001
115,Liberia,4.571000000000001,3.622,3.5329999923706095,3.495,3.975,3.8391999984741227
116,India,4.565,4.404,4.31500005722046,4.19,4.015,4.297800011444092
118,Haiti,4.518,4.0280000000000005,3.6029999256133998,3.582,3.597,3.8655999851226803
119,Congo (Kinshasa),4.5169999999999995,4.272,4.2800002098083505,4.245,4.418,4.346400041961671
120,Nepal,4.513999999999999,4.793,4.961999893188481,4.88,4.913,4.812399978637695
121,Ethiopia,4.512,4.508,4.46000003814697,4.35,4.2860000000000005,4.4232000076293945
122,Sierra Leone,4.507,4.635,4.70900011062622,4.571000000000001,4.374,4.5592000221252444
123,Mauritania,4.436,4.2010000000000005,4.29199981689453,4.356,4.49,4.354999963378907
124,Kenya,4.419,4.356,4.55299997329712,4.41,4.5089999999999995,4.449399994659424
126,Armenia,4.35,4.36,4.37599992752075,4.321000000000001,4.559,4.39319998550415
127,Botswana,4.332,3.9739999999999998,3.7660000324249303,3.59,3.488,3.830000006484986
128,Myanmar,4.3069999999999995,4.395,4.54500007629395,4.308,4.36,4.383000015258789
129,Georgia,4.297,4.252,4.28599977493286,4.34,4.519,4.338799954986572
130,Malawi,4.292,4.156000000000001,3.97000002861023,3.5869999999999997,3.41,3.883000005722046
131,Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.392600011444092
132,Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,4.695800034332276
133,Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,4.6186000450134275
134,Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.37520002670288
135,Yemen,4.077,3.7239999999999998,3.59299993515015,3.355,3.38,3.6257999870300304
137,Mali,3.995,4.073,4.19000005722046,4.447,4.39,4.219000011444092
138,Congo (Brazzaville),3.989,4.236000000000001,4.29099988937378,4.559,4.812,4.377399977874757
140,Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,4.020199970245362
141,Senegal,3.904,4.218999999999999,4.53499984741211,4.631,4.681,4.393999969482422
142,Gabon,3.8960000000000004,4.121,4.46500015258789,4.758,4.7989999999999995,4.407800030517578
143,Niger,3.845,3.8560000000000003,4.02799987792969,4.166,4.628,4.104599975585939
144,Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,4.205400044250488
145,Tanzania,3.781,3.6660000000000004,3.34899997711182,3.303,3.2310000000000003,3.465999995422364
146,Madagascar,3.681,3.695,3.64400005340576,3.7739999999999996,3.9330000000000003,3.745400010681152
148,Chad,3.667,3.763,3.9360001087188703,4.301,4.35,4.003400021743774
149,Guinea,3.656,3.6069999999999998,3.50699996948242,3.964,4.534,3.853599993896484
150,Ivory Coast,3.655,3.9160000000000004,4.17999982833862,4.671,4.944,4.2731999656677235
151,Burkina Faso,3.5869999999999997,3.739,4.03200006484985,4.4239999999999995,4.587,4.07380001296997
152,Afghanistan,3.575,3.36,3.7939999103546103,3.6319999999999997,3.2030000000000003,3.512799982070922
153,Rwanda,3.465,3.515,3.47099995613098,3.408,3.3339999999999996,3.4385999912261958
154,Benin,3.34,3.484,3.65700006484985,4.141,4.883,3.90100001296997
155,Syria,3.0060000000000002,3.069,3.46199989318848,3.4619999999999997,3.4619999999999997,3.292199978637696
156,Burundi,2.905,2.905,2.90499997138977,2.905,3.775,3.078999994277954
157,Togo,2.839,3.303,3.4949998855590803,3.9989999999999997,4.085,3.5441999771118162
