Unnamed: 0,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,Unemp. Rate_2015,Unemp. Rate_2016,Unemp. Rate_2017,Unemp. Rate_2018,Unemp. Rate_2019,Avg. Unemployment
81,Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.9060000000000015,5.179599993133545,13.075,15.275,18.3,18.6,19.075,16.865000000000002
83,China,5.14,5.245,5.2729997634887695,5.246,5.191,5.218999952697754,4.05,4.02,3.9,3.8,3.62,3.878
85,Romania,5.124,5.528,5.824999809265139,5.945,6.07,5.698399961853028,6.812,5.902,4.927,4.187,3.912,5.148
86,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651,5.398,5.603,5.339199996185301,18.231,15.917,14.051,13.273,10.909,14.476200000000002
87,Portugal,5.102,5.122999999999998,5.19500017166138,5.41,5.693,5.304600034332276,12.444,11.066,8.867,6.994,6.463,9.1668
88,Latvia,5.098,5.56,5.849999904632571,5.933,5.94,5.676199980926514,9.875,9.642,8.715,7.415,6.311,8.3916
89,Philippines,5.073,5.279,5.42999982833862,5.524,5.631,5.387399965667724,6.275,5.475,5.725,5.325,5.075,5.575
91,Morocco,5.013,5.151,5.2350001335144,5.254,5.207999999999998,5.172200026702879,9.707,9.4,10.2,9.8,9.2,9.6614
94,Albania,4.959,4.655,4.64400005340576,4.586,4.7189999999999985,4.712600010681152,17.1,15.2,13.7,12.3,11.5,13.959999999999999
95,Bosnia and Herzegovina,4.949,5.1629999999999985,5.18200016021729,5.129,5.386,5.161800032043457,27.7,25.4,20.5,18.4,15.7,21.54
97,Dominican Republic,4.885,5.155,5.230000019073491,5.3020000000000005,5.425,5.199400003814699,7.328,7.08,5.509,5.656,6.167,6.348000000000001
99,Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,5.02919998474121,7.5,10.0,8.8,7.8,10.0,8.82
101,Greece,4.857,5.033,5.227000236511231,5.358,5.287000000000001,5.1524000473022475,24.9,23.55,21.45,19.3,17.325,21.305
103,Hungary,4.8,5.145,5.32399988174438,5.62,5.757999999999999,5.329399976348876,6.814,5.115,4.156,3.708,3.418,4.6422
104,Honduras,4.788,4.871,5.1810002326965305,5.504,5.86,5.240800046539307,4.592,4.668,4.048,4.076,4.109,4.2986
106,Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,4.728399965667723,15.39,15.544,15.513,15.53,14.889,15.3732
110,Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,4.3072000389099125,9.143,9.45,9.65,9.0,8.5,9.1486
112,South Africa,4.642,4.459,4.8289999961853,4.724,4.722,4.675199999237059,25.35,26.725,27.45,27.125,28.7,27.07
126,Armenia,4.35,4.36,4.37599992752075,4.3210000000000015,4.559,4.3931999855041495,18.5,18.0,20.9,20.5,18.9,19.360000000000003
129,Georgia,4.297,4.252,4.28599977493286,4.34,4.519,4.3387999549865714,14.1,14.0,13.9,12.7,11.6,13.26
131,Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.392600011444092,4.7,4.4,4.2,4.4,4.8,4.500000000000001
133,Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,4.618600045013428,9.233,7.666,6.23,5.2,4.2,6.505800000000001
134,Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.375200026702879,12.859,12.705,12.245,10.932,8.612,11.470600000000001
